District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons)
Jodhpur,Wheat,Kharif,16490.142459033697,30.69198608958731,5061.152229679753
Kota,Gram,Rabi,16943.06561430208,45.81823176835924,7763.013071826106
Jaipur,Wheat,Rabi,14297.539875829993,29.752628902482016,4253.893981440086
Hanumangarh,Coriander,Rabi,19737.638446522174,42.026510778509355,8295.040749150847
Hanumangarh,Citrus,Rabi,13591.576842195143,38.19593346538869,5191.429647542034
Sri Ganganagar,Wheat,Rabi,13609.746921562613,40.476299769816144,5508.721961885008
Udaipur,Cotton,Rabi,15725.886814698102,24.569754522436728,3863.811786847568
Udaipur,Gram,Rabi,9825.246502460901,32.558392734914605,3198.9423434446817
Udaipur,Guava,Kharif,11961.506638996729,46.59791993069445,5573.813286144397
Bhilwara,Garlic,Rabi,12275.927773436368,42.36129735790658,5200.24226754722
Alwar,Mustard,Kharif,19396.94630676466,44.702526063355236,8670.924978276493
Nagaur,Guava,Rabi,15202.584614063771,36.5428318255787,5555.454928658627
Jaipur,Fenugreek,Rabi,13366.851826424452,44.81839184994944,5990.808029569034
Jodhpur,Maize,Rabi,11547.019267733092,35.79943234551442,4133.767350675623
Bhilwara,Fennel,Kharif,13198.083930243585,28.218505095622184,3724.301986380279
Udaipur,Bajra,Kharif,13194.88016331181,50.42611943789738,6653.666030839041
Jodhpur,Coriander,Rabi,14959.508325786199,34.296805639539244,5130.633495125584
Ajmer,Oilseeds,Kharif,17467.634736309567,30.276137502721706,5288.525111238265
Hanumangarh,Maize,Kharif,15626.590785014267,37.04284337791913,5788.533549801177
Jaipur,Maize,Rabi,11015.441853304708,46.01450388713084,5068.700919773532
Alwar,Cotton,Rabi,17215.39973998623,30.793381210797985,5301.2036688966855
Nagaur,Opium,Kharif,14653.055152835279,29.40284776689259,4308.415499786967
Bhilwara,Pomegranate,Kharif,10564.434028897718,26.515066022755146,2801.166657692642
Kota,Maize,Kharif,13618.083687120637,48.29236311582901,6576.494423601774
Alwar,Cumin,Kharif,16030.854868705384,28.046775038519435,4496.1378017773395
