District,Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Udaipur,Garlic,Tube Well,11609.330885810617,11335.919980150129
Bhilwara,Gram,Drip Irrigation,12648.406038302792,12091.900253943171
Udaipur,Guava,Canal Irrigation,10063.162447916591,9810.943168837393
Jodhpur,Barley,Sprinkler Irrigation,10110.539993326256,10754.217313163708
Alwar,Gram,Canal Irrigation,9320.45101775053,8695.537818813737
Alwar,Bajra,Tube Well,13707.248507009223,13088.40603512336
Udaipur,Gram,Tube Well,6419.276991936418,6685.757927114612
Nagaur,Gram,Tube Well,9289.883923057485,9468.516256279372
Hanumangarh,Pulses,Tube Well,6437.159656087371,6909.587516713526
Hanumangarh,Citrus,Tube Well,15661.876221224189,16224.039215387857
Kota,Opium,Sprinkler Irrigation,10553.033527645483,9809.797091748638
Alwar,Fenugreek,Canal Irrigation,9733.308655797786,9502.633933285195
Nagaur,Opium,Sprinkler Irrigation,7811.486749531211,8738.673824890717
Sri Ganganagar,Tomato,Sprinkler Irrigation,6562.789955907221,6767.8388552599845
Hanumangarh,Sugarcane,Canal Irrigation,13435.987795036868,14307.01194996194
Ajmer,Bajra,Sprinkler Irrigation,11392.330625198283,10973.489616156785
Udaipur,Fenugreek,Sprinkler Irrigation,14439.690538574307,14739.863314188262
Kota,Chilli,Canal Irrigation,9909.752939787137,10431.30298945327
Hanumangarh,Onion,Tube Well,12835.02600869453,13622.75801145037
Hanumangarh,Sugarcane,Tube Well,11629.659341985467,11675.119314403872
Jaipur,Pomegranate,Sprinkler Irrigation,6516.406866225762,5629.6164148168755
Sri Ganganagar,Oilseeds,Canal Irrigation,12487.54016587375,11780.396946155142
Jaipur,Opium,Canal Irrigation,8902.221311781012,8984.565486647485
Udaipur,Tomato,Drip Irrigation,10033.949035638458,10385.001062677575
Hanumangarh,Maize,Tube Well,5680.971783779863,6249.5861295216355
Sri Ganganagar,Opium,Drip Irrigation,14601.97345705037,14377.082754334351
Udaipur,Garlic,Drip Irrigation,7218.003497841976,6720.685754586588
Nagaur,Tomato,Sprinkler Irrigation,15963.099655793849,16372.357793579424
Udaipur,Cumin,Sprinkler Irrigation,13257.570180740451,14186.149826992512
Sri Ganganagar,Tomato,Sprinkler Irrigation,14120.947084017454,13269.88507210464
Kota,Chilli,Drip Irrigation,10153.058292675345,10010.073921476813
Hanumangarh,Cotton,Sprinkler Irrigation,6723.227424893816,7415.255817074856
Jaipur,Mango,Tube Well,12977.27773757686,12286.889133173432
Kota,Mango,Drip Irrigation,13618.186915349524,13868.92024046748
Sri Ganganagar,Onion,Canal Irrigation,7361.595151100787,7776.958273889738
Hanumangarh,Maize,Sprinkler Irrigation,13634.279339771627,14206.795818446342
Kota,Citrus,Tube Well,7095.4323788879665,6537.828541090872
Ajmer,Fenugreek,Canal Irrigation,8522.56991173552,8109.718626075927
Nagaur,Chilli,Tube Well,14931.395817121758,15578.772618972163
Jaipur,Gram,Canal Irrigation,8239.982405328281,9048.975322303666
Nagaur,Coriander,Sprinkler Irrigation,13613.70107747452,13978.803799011575
Udaipur,Pomegranate,Drip Irrigation,9085.174931130705,9165.649557015828
Sri Ganganagar,Wheat,Canal Irrigation,10071.739448849285,10089.210634854711
Bhilwara,Barley,Canal Irrigation,14299.119224990502,13684.144000857856
